image_name,graphic,floral,stripe,dot,knit,denim,leather,lace,chiffon,embroidered,sheer,cotton,sleeve,sleeveless,collar,pocket,v-neck,button,hooded,zipper
img/Sheer_Pleated-Front_Blouse/img_00000009.jpg,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
img/Sheer_Pleated-Front_Blouse/img_00000010.jpg,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
img/Sheer_Pleated-Front_Blouse/img_00000013.jpg,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
img/Sheer_Pleated-Front_Blouse/img_00000017.jpg,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
img/Sheer_Pleated-Front_Blouse/img_00000020.jpg,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
img/Sheer_Pleated-Front_Blouse/img_00000022.jpg,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
img/Sheer_Pleated-Front_Blouse/img_00000030.jpg,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
img/Sheer_Pleated-Front_Blouse/img_00000031.jpg,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
img/Sheer_Pleated-Front_Blouse/img_00000032.jpg,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
img/Sheer_Pleated-Front_Blouse/img_00000043.jpg,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
img/Sheer_Pleated-Front_Blouse/img_00000066.jpg,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
img/Sheer_Pleated-Front_Blouse/img_00000071.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
img/Sheer_Pleated-Front_Blouse/img_00000086.jpg,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
img/Sheer_Pleated-Front_Blouse/img_00000089.jpg,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
img/Sheer_Pleated-Front_Blouse/img_00000126.jpg,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
img/Sheer_Pleated-Front_Blouse/img_00000131.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
img/Sheer_Woven_Blouse/img_00000003.jpg,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
img/Sheer_Woven_Blouse/img_00000007.jpg,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
img/Sheer_Woven_Blouse/img_00000009.jpg,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
img/Sheer_Woven_Blouse/img_00000012.jpg,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
img/Sheer_Woven_Blouse/img_00000013.jpg,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
